"priority","traceability_status","http_status","affected_row_count","domain","source_orgs","sample_source_title","sample_ids","url","final_url","error","manual_result","manual_access_time","reviewer","evidence_note","recommended_action"
"P1","blocked_or_forbidden","403","133","www.osha.gov","OSHA;Occupational Safety and Health Administration;U.S. Occupational Safety and Health Administration (OSHA)","OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories","EXT-OSHA-1910-1450-001-a77d791b29;EXT-OSHA-1910-1450-002-8f108ed433;EXT-OSHA-1910-1450-003-8d73f7cb43;EXT-OSHA-1910-1450-004-c17b4f3b08;EXT-OSHA-1910-1450-005-31106c72ac","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已从govinfo.gov（美国政府出版局官方CFR XML包）下载29 CFR 1910.1450全文，转换为Markdown并保留原始XML；govinfo.gov对自动化客户端不设反爬拦截，内容与OSHA官网同为同一联邦法规文本。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/OSHA-1910.1450.xml, artifacts/kb_source_archive_20260723/OSHA-1910.1450.md。结项材料可直接引用govinfo.gov链接与本地全文，不必依赖osha.gov原链接的可点击性。"
"P1","network_error","","47","www.ncbi.nlm.nih.gov","Cornell EHS / National Academies Press;National Academies Press / NCBI Bookshelf;National Academies Press / OSHA;教育部 / National Academies Press","高等学校实验室安全规范（教育部2024）; Prudent Practices in the Laboratory","KB-SOP-3010;EXT-NCBI-PRUDENT-OVERVIEW-001-652025dea2;EXT-NCBI-PRUDENT-OVERVIEW-002-a96abf7871;EXT-NCBI-PRUDENT-OVERVIEW-003-c53c3efedd;EXT-NCBI-PRUDENT-OVERVIEW-004-2d303b5960","https://www.ncbi.nlm.nih.gov/books/NBK55873/","","ReadTimeout: HTTPSConnectionPool(host='www.ncbi.nlm.nih.gov', port=443): Read timed out. (read timeout=15)","archived_direct","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已直接从NCBI Bookshelf下载该章节HTML原文并转换为Markdown（含图表说明），内容与来源标题一致。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/NCBI-NBK55873.html, artifacts/kb_source_archive_20260723/NCBI-NBK55873.md。可直接引用；建议后续将traceability_status由network_error更新为open。"
"P1","blocked_or_forbidden","403","29","www.osha.gov","OSHA;OSHA / NIOSH;Occupational Safety and Health Administration (OSHA);U.S. Occupational Safety and Health Administration;U.S. Occupational Safety and Health Administration (OSHA)","OSHA Laboratory Safety Guidance","KB-RECO-0110;KB-RECO-0111;KB-RECO-0141;KB-RECO-0150;KB-RECO-0166","https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致，OSHA站点对自动化客户端的反爬拦截。","保留OSHA官方PDF来源；送审现场需人工浏览器确认可下载，不依赖脚本通过率。"
"P1","blocked_or_forbidden","403","27","www.cdc.gov","CDC/NIH","Biosafety in Microbiological and Biomedical Laboratories (BMBL), 6th Edition","KB-BLK-9033;KB-BLK-9035;KB-BLK-9036;KB-BLK-9037;KB-BLK-9038","https://www.cdc.gov/labs/BMBL.html","https://www.cdc.gov/labs/BMBL.html","","webfetch_403","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","WebFetch/requests均返回HTTP 403；本次未找到CDC BMBL的官方免反爬镜像（NCBI/PMC等均未收录该出版物的等价可下载版本）。","保留CDC BMBL官方来源；未能本地归档全文，送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","23","www.osha.gov","OSHA / AORN Alliance;OSHA / Laser Institute of America (LIA);Occupational Safety and Health Administration (OSHA)","Laser Hazards - Hazard Recognition","KB-RECO-0112;KB-RECO-0113;KB-RECO-0116;KB-RECO-0117;KB-RECO-0118","https://www.osha.gov/laser-hazards/hazards","https://www.osha.gov/laser-hazards/hazards","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致。","保留OSHA官方来源；送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","14","www.cdc.gov","CDC (Centers for Disease Control and Prevention);Centers for Disease Control and Prevention;Centers for Disease Control and Prevention (CDC);Centers for Disease Control and Prevention (CDC) / NIOSH","Guidelines for Safe Work Practices in Diagnostic Laboratories","KB-RECO-0168;KB-RECO-0169;KB-RECO-0186;KB-RECO-0379;KB-RECO-0380","https://www.cdc.gov/mmwr/preview/mmwrhtml/su6101a1.htm","https://www.cdc.gov/mmwr/preview/mmwrhtml/su6101a1.htm","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致。","保留CDC MMWR官方来源；送审现场需人工浏览器确认。"
"P1","network_error","","13","openstd.samr.gov.cn","住建部;国家市场监督管理总局;国家市场监督管理总局 / OSHA;国家市场监督管理总局 / 国务院;国家标准化管理委员会(SAC)","GB/T 34525-2017 气瓶搬运、装卸、储存和使用安全规定","KB-MSDS-2013;KB-SOP-3009;KB-GEN-4003;KB-GEN-4004;KB-BIO-5001","https://openstd.samr.gov.cn/","","ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","webfetch_open_no_fulltext","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch可打开首页，但未返回可分析的正文内容（该系统全文预览依赖前端JS渲染，纯HTTP抓取只能看到跳转/提示信息），并非站点不可达。","保留国家标准全文公开系统作为标准来源出处；具体标准页建议改用带hcno参数的详情页链接（见GB 19489-2008验证结果），并在送审现场用真实浏览器打开全文预览。"
"P1","blocked_or_forbidden","403","10","documents.thermofisher.com","Thermo Fisher Scientific","Vanquish UHPLC Systems Operating Manual - Safety Precautions","KB-RECO-0011;KB-RECO-0012;KB-RECO-0013;KB-RECO-0014;KB-RECO-0015","https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf","https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致，Thermo Fisher文档站对自动化客户端的反爬拦截。","保留Thermo Fisher官方手册来源；送审现场需人工浏览器确认可下载。"
"P1","blocked_or_forbidden","403","9","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Employer Responsibilities","KB-RECO-0220;KB-RECO-0223;KB-RECO-0226;KB-RECO-0235;KB-RECO-0238","https://www.osha.gov/workers/employer-responsibilities","https://www.osha.gov/workers/employer-responsibilities","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致。","保留OSHA官方来源；送审现场需人工浏览器确认。"
"P1","network_error","","8","openstd.samr.gov.cn","国家标准全文公开系统","GB 19489-2008 实验室生物安全通用要求","KB-RECO-0336;KB-RECO-0337;KB-RECO-0338;KB-RECO-0339;KB-RECO-0340","https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC","","ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","archived_partial_metadata","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已保存该页服务器端渲染的元数据（标准号/中英文名称/状态/CCS-ICS分类号/发布与实施日期/主管归口单位），已在静态HTML中确认真实存在；全文预览仍需前端JS渲染，未能获取全文。","元数据原文/说明已保存：artifacts/kb_source_archive_20260723/OPENSTD-GB19489-2008.html, artifacts/kb_source_archive_20260723/OPENSTD-GB19489-2008.md。全文引用仍需人工浏览器打开在线预览。"
